DATE,DHOILNYH
6/2/1986,0.402
6/3/1986,0.393
6/4/1986,0.378
6/5/1986,0.39
6/6/1986,0.385
6/9/1986,0.373
6/10/1986,0.365
6/11/1986,0.389
6/12/1986,0.394
6/13/1986,0.398
6/16/1986,0.379
6/17/1986,0.374
6/18/1986,0.376
6/19/1986,0.382
6/20/1986,0.365
6/23/1986,0.369
6/24/1986,0.369
6/25/1986,0.375
6/26/1986,0.376
6/27/1986,0.379
6/30/1986,0.374
7/1/1986,0.369
7/2/1986,0.359
7/3/1986,0.349
7/7/1986,0.335
7/8/1986,0.336
7/9/1986,0.325
7/10/1986,0.33
7/11/1986,0.324
7/14/1986,0.315
7/15/1986,0.328
7/16/1986,0.348
7/17/1986,0.339
7/18/1986,0.345
7/21/1986,0.345
7/22/1986,0.323
7/23/1986,0.323
7/24/1986,0.327
7/25/1986,0.317
7/28/1986,0.318
7/29/1986,0.328
7/30/1986,0.34
7/31/1986,0.321
8/1/1986,0.324
8/4/1986,0.374
8/5/1986,0.408
8/6/1986,0.411
8/7/1986,0.411
8/8/1986,0.4
8/11/1986,0.4
8/12/1986,0.414
8/13/1986,0.411
8/14/1986,0.415
8/15/1986,0.42
8/18/1986,0.421
8/19/1986,0.406
8/20/1986,0.419
8/21/1986,0.42
8/22/1986,0.42
8/25/1986,0.418
8/26/1986,0.411
8/27/1986,0.413
8/28/1986,0.419
8/29/1986,0.426
9/2/1986,0.441
9/3/1986,0.431
9/4/1986,0.438
9/5/1986,0.441
9/8/1986,0.423
9/9/1986,0.399
9/10/1986,0.39
9/11/1986,0.396
9/12/1986,0.395
9/15/1986,0.383
9/16/1986,0.375
9/17/1986,0.385
9/18/1986,0.391
9/19/1986,0.394
9/22/1986,0.388
9/23/1986,0.394
9/24/1986,0.394
9/25/1986,0.387
9/26/1986,0.392
9/29/1986,0.403
9/30/1986,0.403
10/1/1986,0.414
10/2/1986,0.421
10/3/1986,0.402
10/6/1986,0.4
10/7/1986,0.409
10/8/1986,0.405
10/9/1986,0.402
10/10/1986,0.391
10/14/1986,0.38
10/15/1986,0.39
10/16/1986,0.385
10/17/1986,0.396
10/20/1986,0.407
10/21/1986,0.409
10/22/1986,0.399
10/23/1986,0.387
10/24/1986,0.386
10/27/1986,0.374
10/28/1986,0.368
10/29/1986,0.359
10/30/1986,0.384
10/31/1986,0.398
11/3/1986,0.394
11/4/1986,0.409
11/5/1986,0.406
11/6/1986,0.414
11/7/1986,0.419
11/10/1986,0.424
11/11/1986,0.428
11/12/1986,0.424
11/13/1986,0.437
11/14/1986,0.439
11/17/1986,0.432
11/18/1986,0.431
11/19/1986,0.433
11/20/1986,0.425
11/21/1986,0.429
11/24/1986,0.416
11/25/1986,0.419
11/26/1986,0.418
11/28/1986,0.418
12/1/1986,0.434
12/2/1986,0.435
12/3/1986,0.431
12/4/1986,0.433
12/5/1986,0.436
12/8/1986,0.429
12/9/1986,0.422
12/10/1986,0.429
12/11/1986,0.442
12/12/1986,0.454
12/15/1986,0.455
12/16/1986,0.444
12/17/1986,0.442
12/18/1986,0.446
12/19/1986,0.45
12/22/1986,0.464
12/23/1986,0.46
12/24/1986,0.467
12/29/1986,0.472
12/30/1986,0.467
12/31/1986,0.482
1/2/1987,0.49
1/5/1987,0.484
1/6/1987,0.494
1/7/1987,0.499
1/8/1987,0.506
1/9/1987,0.519
1/12/1987,0.535
1/13/1987,0.534
1/14/1987,0.55
1/15/1987,0.551
1/16/1987,0.551
1/19/1987,0.531
1/20/1987,0.54
1/21/1987,0.522
1/22/1987,0.538
1/23/1987,0.531
1/26/1987,0.521
1/27/1987,0.516
1/28/1987,0.507
1/29/1987,0.511
1/30/1987,0.521
2/2/1987,0.507
2/3/1987,0.501
2/4/1987,0.491
2/5/1987,0.506
2/6/1987,0.498
2/9/1987,0.488
2/10/1987,0.49
2/11/1987,0.475
2/12/1987,0.479
2/13/1987,0.475
2/17/1987,0.477
2/18/1987,0.468
2/19/1987,0.462
2/20/1987,0.472
2/23/1987,0.454
2/24/1987,0.445
2/25/1987,0.433
2/26/1987,0.449
2/27/1987,0.43
3/2/1987,0.427
3/3/1987,0.459
3/4/1987,0.458
3/5/1987,0.484
3/6/1987,0.494
3/9/1987,0.491
3/10/1987,0.501
3/11/1987,0.502
3/12/1987,0.503
3/13/1987,0.506
3/16/1987,0.52
3/17/1987,0.53
3/18/1987,0.499
3/19/1987,0.51
3/20/1987,0.5
3/23/1987,0.495
3/24/1987,0.499
3/25/1987,0.492
3/26/1987,0.489
3/27/1987,0.489
3/30/1987,0.488
3/31/1987,0.471
4/1/1987,0.495
4/2/1987,0.499
4/3/1987,0.494
4/6/1987,0.489
4/7/1987,0.488
4/8/1987,0.483
4/9/1987,0.478
4/10/1987,0.469
4/13/1987,0.473
4/14/1987,0.47
4/15/1987,0.481
4/16/1987,0.476
4/20/1987,0.47
4/21/1987,0.476
4/22/1987,0.479
